row/column,1,2,3,4,5,6,7,8
A,NGLY1_10M_006,NGLY1_10M_002,NGLY1_10M_025,NGLY1_10M_013,NGLY1_10M_038,NGLY1_10M_012,NGLY1_10M_030,NGLY1_10M_014
B,NGLY1_10M_008,NGLY1_10M_020,NGLY1_10M_003,NGLY1_10M_009,NGLY1_10M_033,NGLY1_10M_016,NGLY1_10M_035,NGLY1_10M_005
C,NGLY1_10M_034,NGLY1_10M_040,NGLY1_10M_023,NGLY1_10M_039,NGLY1_10M_017,NGLY1_10M_018,NGLY1_10M_029,NGLY1_10M_044
D,NGLY1_10M_019,NGLY1_10M_024,NGLY1_10M_026,NGLY1_10M_015,NGLY1_10M_045,NGLY1_10M_010,NGLY1_10M_042,NGLY1_10M_043
E,NGLY1_10M_041,NGLY1_10M_027,NGLY1_10M_037,NGLY1_10M_031,NGLY1_10M_011,NGLY1_10M_047,NGLY1_10M_036,NGLY1_10M_022
F,NGLY1_10M_046,NGLY1_10M_032,NGLY1_10M_001,NGLY1_10M_028,NGLY1_10M_004,NGLY1_10M_048,NGLY1_10M_021,NGLY1_10M_007
